"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"负数扣库存 → 400","14","test_deduct_negative_quantity","test_apis","2026-09-19","passed","2026-09-19","TestSKUWrite","test_goods","",""
"重复刷新：第二次失败（已拉黑）","378","test_refresh_token_reuse","test_apis","2026-09-19","passed","2026-09-19","TestRefreshToken","test_users","",""
"无 token → 401","5","test_no_token","test_apis","2026-09-19","passed","2026-09-19","TestCartRead","test_cart","",""
"已取消的订单可删除","28","test_delete_cancelled","test_apis","2026-09-19","passed","2026-09-19","TestOrderDelete","test_orders","",""
"已完成的订单可删除","111","test_delete_completed","test_apis","2026-09-19","passed","2026-09-19","TestOrderDelete","test_orders","",""
"无签名 → 403","4","test_callback_no_signature","test_apis","2026-09-19","passed","2026-09-19","TestPaymentCallback","test_payment","",""
"","14","test_refresh_token","test_apis","2026-09-19","passed","2026-09-19","TestRefreshToken","test_users","",""
"","8","test_bind_phone_invalid","test_apis","2026-09-19","passed","2026-09-19","TestBindPhone","test_users","",""
"未登录","5","test_mine_no_auth","test_apis","2026-09-19","passed","2026-09-19","TestMyReviews","test_reviews","",""
"未登录","4","test_status_no_auth","test_apis","2026-09-19","passed","2026-09-19","TestPaymentStatus","test_payment","",""
"缺 sku_id → 400","5","test_add_missing_sku_id","test_apis","2026-09-19","passed","2026-09-19","TestCartAdd","test_cart","",""
"未登录","4","test_create_no_auth","test_apis","2026-09-19","passed","2026-09-19","TestOrderCreate","test_orders","",""
"评分越界","18","test_create_rating_out_of_range","test_apis","2026-09-19","passed","2026-09-19","TestReviewCreate","test_reviews","",""
"未登录","4","test_ship_no_auth","test_apis","2026-09-19","passed","2026-09-19","TestOrderShip","test_orders","",""
"","46","test_upload_avatar","test_apis","2026-09-19","passed","2026-09-19","TestUploadAvatar","test_users","",""
"","6","test_upload_avatar_no_file","test_apis","2026-09-19","passed","2026-09-19","TestUploadAvatar","test_users","",""
"缺 name → 400","6","test_create_no_name","test_apis","2026-09-19","passed","2026-09-19","TestCategoryWrite","test_goods","",""
"普通用户不能发货","32","test_ship_not_seller","test_apis","2026-09-19","passed","2026-09-19","TestOrderShip","test_orders","",""
"","4","test_upload_avatar_no_token","test_apis","2026-09-19","passed","2026-09-19","TestUploadAvatar","test_users","",""
"","5","test_update_user_password_no_token","test_apis","2026-09-19","passed","2026-09-19","TestUpdateUserPassword","test_users","",""
"商品列表","9","test_list","test_apis","2026-09-19","passed","2026-09-19","TestSPURead","test_goods","",""
"无 token → 401","4","test_shop_settings_no_token","test_apis","2026-09-19","passed","2026-09-19","TestShopSettings","test_users","",""
"重复支付","28","test_pay_twice","test_apis","2026-09-19","passed","2026-09-19","TestOrderPay","test_orders","",""
"分页格式 {count, next, previous, results}","11","test_pagination_format","test_apis","2026-09-19","passed","2026-09-19","TestCategoryWrite","test_goods","",""
"无 q 参数","4","test_suggest_no_query_param","test_apis","2026-09-19","passed","2026-09-19","TestSearchSuggest","test_search","",""
"空 body → 不做任何修改，返回 200","18","test_update_no_body","test_apis","2026-09-19","passed","2026-09-19","TestCartUpdate","test_cart","",""
"按 SPU 筛选 — ?spu=1","20","test_filter_by_spu","test_apis","2026-09-19","passed","2026-09-19","TestSKURead","test_goods","",""
"匿名评价","21","test_create_anonymous","test_apis","2026-09-19","passed","2026-09-19","TestReviewCreate","test_reviews","",""
"正常创建","12","test_create_success","test_apis","2026-09-19","passed","2026-09-19","TestOrderCreate","test_orders","",""
"热销商品","11","test_hot","test_apis","2026-09-19","passed","2026-09-19","TestSPURead","test_goods","",""
